codigo,origen,counter
CCTUNI,Aliados,0
DSCUNI,Aliados,0
ILA79,Aliados,0
LEADUNMSM,Aliados,23
MME116,Aliados,0
RY640,Aliados,0
TEST10,Aliados,0
UZ983,Aliados,1
WIEUPC,Aliados,0
AC4579,Laboral Heros,31
AH1755,Laboral Heros,3
AH7408,Laboral Heros,52
AO9553,Laboral Heros,4
BC6722,Laboral Heros,3
BV5126,Laboral Heros,2
CA1847,Laboral Heros,15
ER4337,Laboral Heros,18
JC8281,Laboral Heros,3
JL9255,Laboral Heros,21
JR8182,Laboral Heros,2
KYU379,Laboral Heros,5
LA8486,Laboral Heros,64
LD5844,Laboral Heros,5
MJ6704,Laboral Heros,1
NE2321,Laboral Heros,55
RA3779,Laboral Heros,1
SF6963,Laboral Heros,64
SG2117,Laboral Heros,26
SL9775,Laboral Heros,6
SP4460,Laboral Heros,1
VE1924,Laboral Heros,1
ZY807,Laboral Heros,6
