_id_course,curso,postulantes
69bae3cf1f6a59264ed47931,LinkedIn Boost - Potencia tu Marca Personal,22
69c53127d988ad92e49d10be,Productividad en equipo con Google Workspace,14
6a3c65c6f8edff36951b041d,Mentores: Mentalidad de Líder,13
69c53a42d988ad92e49d112f,Ikigai,12
6a16063e4274d417532c3175,Taller de CV - Despega Sur,10
69c38eabaf79cdc40e2e53e9,Negocia y Convence,10
69a5f213ca8c2a9ff52ceaeb,LinkedIn Boost - Potencia tu Marca Personal,9
69ea4f7b6f1ba8c78ed2696f,DESPEGA NORTE - Masterclass Linkedin,8
6a4f98f2628189269f298ead,Mentores: Presentaciones de Alto Impacto,7
69d0015903af8e654601dfa0,Optimiza tu CV by Laboral Hero,5
69c0301b9e1dbb79ed47656d,Flujos end to end,5
69b3c0c3d5534aa59d91445e,Test de curso,4
6a74faa07d5b963d972131f3,Mentores: La muerte de las MARCAS,3
69eb7a737c491af9f1c411c7,test pago,3
69cc1bc9b4084bc82b4a29c5,Optimiza tu CV - Comunidad UTEC,2
69b8f74939a011c05a0adb36,Bootcamp de Desarrollo Web Full Stack,1
69bad48f67b38be71dc2df6a,Curso sin nombre,1
69cab9b4d527f2fc913b7c73,"MENTORES - Rodrigo Reyes (Monterrey, México)",1
6a33fa6416496736907d975b,test sincrono,1
