_id_postulante,carrera_principal,area_profesional,nivel_educativo
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,Bachiller en Arte con mención en Diseño Gráfico,Arquitectura y Diseño,Bachiller
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,Transformación digital para emprendedores,Otros,Otros
66b975bfbf7e18bdfd26381e,Design Thinking,Arquitectura y Diseño,Otros
66b975bfbf7e18bdfd26381e,Curso Introducción al Human-Centered Design,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,Diplomado en marketing digital,Administración y Negocios,Diplomado
66b975bfbf7e18bdfd26381e,Profesional en Diseño Gráfico,Arquitectura y Diseño,Bachiller
66b975bfbf7e18bdfd26381e,Curso de producción y animación Motion Graphic,Otros,Certificado
66b975bfbf7e18bdfd26381e,Diploma en UX &UI,Otros,Diplomado
66b975bfbf7e18bdfd26381e,Bachiller en Ingeniería de Software,Ingeniería y Tecnología,Bachiller
66b9831a1f38bd5f50205581,Ciencias de la Computación,Ingeniería y Tecnología,Bachiller
66b9831a1f38bd5f50205581,Sistemas de Información,Ingeniería y Tecnología,Certificado
66b975bfbf7e18bdfd26381e,Bachiller en Arte con mención en Diseño Gráfico,Arquitectura y Diseño,Bachiller
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,,,
66b975bfbf7e18bdfd26381e,Design Systems in Figma,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,Figma Masterclass course,Otros,Certificado
66b975bfbf7e18bdfd26381e,Responsive Web Design HTML & CSS,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,Introducción al desarrollo web,Otros,Certificado
66b975bfbf7e18bdfd26381e,Diseño de Interfaz avanzado,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,UI Design,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,Web & Mobile Designer,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,Fundamentos de diseño,Arquitectura y Diseño,Certificado
66b975bfbf7e18bdfd26381e,MÁSTER IN USER EXPERIENCE AND INTERACTION DESIGN,Arquitectura y Diseño,Maestría
66b975bfbf7e18bdfd26381e,TRAINING WORKSHOP,Otros,Certificado
66b975bfbf7e18bdfd26381e,COURSE PRODUCT MANAGEMENT,Administración y Negocios,Certificado
66b975bfbf7e18bdfd26381e,BACHELOR ́S DEGREE IN PUBLICITY,Otros,Bachiller
66ba1b48db5c98b2ee73e566,Biología Marina,Ciencias,Bachiller
66ba1b48db5c98b2ee73e566,Organización de SOA La Academia Latinoamericana,Otros,Certificado
66ba1b48db5c98b2ee73e566,Curso de redacción Científica,Otros,Certificado
66ba1b48db5c98b2ee73e566,Estudiante,Otros,Otros
66ba1b48db5c98b2ee73e566,Participante,Otros,Certificado
66ba1b65db5c98b2ee73e5db,Ingeniería  Económica y de Negocios (Tercio superior),Ingeniería y Tecnología,Bachiller
66ba1b36db5c98b2ee73e53c,Especialista en Excel,Otros,Certificado
66ba1b5bdb5c98b2ee73e5aa,Design Thinking,Arquitectura y Diseño,Certificado
66ba1b5bdb5c98b2ee73e5aa,Gestión de almacén e inventario | Gestión de importación y exportación aduanera,Administración y Negocios,Certificado
66ba1b5bdb5c98b2ee73e5aa,Administración de Negocios Internacionales (Media superior),Administración y Negocios,Bachiller
66ba1b5bdb5c98b2ee73e5aa,Impulsando talento con valores,Otros,Certificado
66ba1b53db5c98b2ee73e599,Ingenieria economica y de negocios,Ingeniería y Tecnología,Bachiller
66ba1b38db5c98b2ee73e543,CEO,Otros,Otros
66ba1b38db5c98b2ee73e543,COO,Otros,Otros
