_id,school,degree,startDate,endDate,type,inProgress,cv,createdAt,updatedAt,__v,endMonth,endYear,startMonth,startYear,description
66eaac1b59f552ae11a095c6,Motion Design,,2024,En curso,,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1b59f552ae11a095c4,Mug Studio Design,,2021,Actualidad,,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1b59f552ae11a095c3,Facultad de Artes Escénicas PUCP,,2022,2023,,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1b59f552ae11a095c5,PUENTE,,2022,Actualidad,,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1b59f552ae11a095c2,Pontificia Universidad Católica del Perú,Bachiller en Arte con mención en Diseño Gráfico,2017,2022,Bachelor,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1b59f552ae11a095c7,Fotografía,,2018,,,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1b59f552ae11a095c8,Digital Marketing Basics,,2020,,,False,66b975f0bf7e18bdfd263821,2024-09-18 10:31:55.072,2024-09-18 10:31:55.072,0,,,,,
66eaac1c59f552ae11a095de,Incavalley- Proinnóvate,Transformación digital para emprendedores,2022,2022,Other,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-09-18 10:31:56.455,0,,,,,
66eaac1c59f552ae11a095df,Fundación Telefónica - Movistar,Design Thinking,2023,2023,Other,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-09-18 10:31:56.455,0,,,,,
66eaac1c59f552ae11a095dd,Domestika,Curso Introducción al Human-Centered Design,2021,2022,Certificate,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-09-18 10:31:56.455,0,,,,,
